#Total No. of Collocate Types: 47					
#Total No. of Collocate Tokens: 340					
rank	freq	freq(L)	freq(L)	MI Score	Collocate
1	1	0	1	8.05084	african
2	1	1	0	7.46588	link
3	1	0	1	7.46588	immigrant
4	1	0	1	7.46588	bronx
5	21	0	21	7.26325	teenager
6	110	109	1	7.14395	an
7	83	0	83	7.08826	black
8	1	1	0	6.59141	innocent
9	3	0	3	6.46588	teen
10	10	0	10	6.3504	africanamerican
11	1	0	1	6.24349	antonio
12	16	0	16	6.18048	year
13	7	1	6	5.72891	young
14	1	1	0	5.65852	kill
15	1	1	0	5.46588	seeing
16	2	0	2	5.21795	citizens
17	1	0	1	5.19286	met
18	1	0	1	5.14395	florida
19	1	1	0	4.72891	mostly
20	4	0	4	4.49625	man
21	1	0	1	4.37842	led
22	1	0	1	4.32292	son
23	1	0	1	4.14395	neighborhood
24	1	0	1	3.57511	events
25	1	1	0	3.42148	both
26	2	0	2	3.31613	missouri
27	1	1	0	3.02847	against
28	2	2	0	3.00099	other
29	1	1	0	2.73796	my
30	10	8	2	2.72351	was
31	1	1	0	2.61621	old
32	2	0	2	2.23066	when
33	1	0	1	2.15602	michael
34	2	2	0	2.14395	shooting
35	2	2	0	2.05366	been
36	1	1	0	1.96869	shot
37	1	1	0	1.96869	also
38	2	2	0	1.68452	were
39	15	15	0	1.6531	of
40	1	0	1	1.59551	protesters
41	2	1	1	1.12603	at
42	15	15	0	0.53988	the
43	1	0	1	0.42331	but
44	1	0	1	0.14545	mr
45	3	2	1	-0.48605	and
46	1	0	1	-0.55279	on
47	1	0	1	-2.07683	to
