To	WORD	BEGINOFSENTENCE NEWPARAGRAPH 
add	WORD	
to	WORD	
the	WORD	
previous	WORD	
responses	WORD	NOSPACE 
,	PUNCTUATION	
one	WORD	
crucial	WORD	
thing	WORD	
in	WORD	
your	WORD	
situation	WORD	
is	WORD	
that	WORD	
in	WORD	
the	WORD	ENDOFSENTENCE 

case	WORD	BEGINOFSENTENCE NEWPARAGRAPH 
of	WORD	
forgetting	WORD	
to	WORD	
close	WORD	
the	WORD	
window	WORD	NOSPACE 
,	PUNCTUATION	
it	SUFFIX	
's	SUFFIX	
TOO	WORD	
LATE	WORD	
to	WORD	
do	WORD	
anything	WORD	
about	WORD	
it	WORD	NOSPACE 
.	PUNCTUATION	ENDOFSENTENCE 

If	WORD	BEGINOFSENTENCE ENDOFSENTENCE 

you	WORD	BEGINOFSENTENCE NEWPARAGRAPH 
have	WORD	
momentarily	WORD	
forgotten	WORD	
a	WORD	
fact	WORD	NOSPACE 
,	PUNCTUATION	
then	WORD	
you	WORD	
could	WORD	
use	WORD	
either	WORD	
"	PUNCTUATION	NOSPACE 
I	WORD	
forget	WORD	NOSPACE 
"	PUNCTUATION	
or	WORD	ENDOFSENTENCE 

"	PUNCTUATION	NOSPACE BEGINOFSENTENCE NEWPARAGRAPH 
I	SUFFIX	
've	SUFFIX	
forgotten	WORD	NOSPACE 
"	PUNCTUATION	NOSPACE 
,	PUNCTUATION	
meaning	WORD	
that	WORD	
there	SUFFIX	
's	SUFFIX	
a	WORD	
chance	WORD	
that	WORD	
you	WORD	NOSPACE 
'	PUNCTUATION	NOSPACE 
ll	WORD	
remember	WORD	
before	WORD	
it	SUFFIX	
's	SUFFIX	
too	WORD	ENDOFSENTENCE 

late	WORD	NOSPACE BEGINOFSENTENCE NEWPARAGRAPH 
.	PUNCTUATION	ENDOFSENTENCE 

Maybe	WORD	BEGINOFSENTENCE 
the	WORD	
case	WORD	
of	WORD	
"	PUNCTUATION	NOSPACE 
I	WORD	
forgot	WORD	NOSPACE 
"	PUNCTUATION	
is	WORD	
closer	WORD	
to	WORD	
"	PUNCTUATION	NOSPACE 
wasurechatta	WORD	NOSPACE 
"	PUNCTUATION	
in	WORD	
Japanese	WORD	NOSPACE 
,	PUNCTUATION	
in	WORD	
that	WORD	ENDOFSENTENCE 

it	SUFFIX	BEGINOFSENTENCE NEWPARAGRAPH 
's	SUFFIX	
in	WORD	
some	WORD	
sense	WORD	
more	WORD	
in	WORD	
the	WORD	
past	WORD	NOSPACE 
.	PUNCTUATION	ENDOFSENTENCE 

I	WORD	BEGINOFSENTENCE 
just	WORD	
realized	WORD	
that	WORD	
using	WORD	
"	PUNCTUATION	NOSPACE 
I	WORD	
forget	WORD	NOSPACE 
"	PUNCTUATION	
can	WORD	
be	WORD	
used	WORD	ENDOFSENTENCE 

only	WORD	BEGINOFSENTENCE NEWPARAGRAPH 
for	WORD	
knowledge	WORD	NOSPACE 
,	PUNCTUATION	
not	WORD	
neglecting	WORD	
to	WORD	
do	WORD	
something	WORD	NOSPACE 
.	PUNCTUATION	ENDOFSENTENCE 

So	WORD	BEGINOFSENTENCE 
if	WORD	
someone	WORD	
asks	WORD	
you	WORD	ENDOFSENTENCE 

whether	WORD	BEGINOFSENTENCE NEWPARAGRAPH 
you	WORD	
closed	WORD	
the	WORD	
window	WORD	
and	WORD	
you	WORD	
say	WORD	
"	PUNCTUATION	NOSPACE 
I	WORD	
forgot	WORD	NOSPACE 
"	PUNCTUATION	
it	WORD	
means	WORD	
that	WORD	
you	WORD	
forgot	WORD	
to	WORD	ENDOFSENTENCE 

close	WORD	BEGINOFSENTENCE NEWPARAGRAPH 
the	WORD	
window	WORD	NOSPACE 
.	PUNCTUATION	ENDOFSENTENCE 

But	WORD	BEGINOFSENTENCE 
if	WORD	
you	WORD	
say	WORD	
"	PUNCTUATION	NOSPACE 
I	WORD	
forget	WORD	NOSPACE 
"	PUNCTUATION	NOSPACE 
,	PUNCTUATION	
it	WORD	
means	WORD	
that	WORD	
you	WORD	
ca	SUFFIX	
n't	SUFFIX	
remember	WORD	ENDOFSENTENCE 

WHETHER	WORD	BEGINOFSENTENCE NEWPARAGRAPH 
you	WORD	
closed	WORD	
the	WORD	
window	WORD	
or	WORD	
not	WORD	NOSPACE 
.	PUNCTUATION	ENDOFSENTENCE 

Hi	WORD	NOSPACE BEGINOFSENTENCE NEWPARAGRAPH 
,	PUNCTUATION	
Yuki	WORD	NOSPACE 
,	PUNCTUATION	ENDOFSENTENCE 

First	WORD	NOSPACE BEGINOFSENTENCE NEWPARAGRAPH 
,	PUNCTUATION	
you	WORD	
have	WORD	
to	WORD	
understand	WORD	
that	WORD	
the	WORD	
general	WORD	
explanations	WORD	
for	WORD	
these	WORD	
phenomena	WORD	
which	WORD	
you	WORD	
have	WORD	
encountered	WORD	
are	WORD	
often	WORD	
useful	WORD	
as	WORD	
guideposts	WORD	NOSPACE 
,	PUNCTUATION	
and	WORD	
sometimes	WORD	
are	WORD	
even	WORD	
quite	WORD	
correct	WORD	NOSPACE 
,	PUNCTUATION	
and	WORD	
almost	WORD	
always	WORD	
based	WORD	
on	WORD	
at	WORD	
least	WORD	
some	WORD	
research	WORD	NOSPACE 
,	PUNCTUATION	
in	WORD	
some	WORD	
cases	WORD	
decades	WORD	
or	WORD	
centuries	WORD	
of	WORD	
research	WORD	NOSPACE 
,	PUNCTUATION	
into	WORD	
these	WORD	
phenomena	WORD	NOSPACE 
,	PUNCTUATION	
or	WORD	
at	WORD	
least	WORD	
thinking	WORD	
about	WORD	
them	WORD	NOSPACE 
.	PUNCTUATION	ENDOFSENTENCE 

That	WORD	BEGINOFSENTENCE 
is	WORD	NOSPACE 
,	PUNCTUATION	
they	WORD	
are	WORD	
good	WORD	
faith	WORD	
attempts	WORD	
to	WORD	
find	WORD	
and	WORD	
express	WORD	
useful	WORD	
generalizations	WORD	NOSPACE 
.	PUNCTUATION	ENDOFSENTENCE 

However	WORD	NOSPACE BEGINOFSENTENCE 
,	PUNCTUATION	
that	WORD	
does	SUFFIX	
n't	SUFFIX	
necessarily	WORD	
make	WORD	
them	WORD	
100	NUMBER	NOSPACE 
%	PUNCTUATION	
correct	WORD	NOSPACE 
.	PUNCTUATION	ENDOFSENTENCE 

I	WORD	BEGINOFSENTENCE 
do	SUFFIX	
n't	SUFFIX	
really	WORD	
know	WORD	
what	WORD	
is	WORD	
going	WORD	
on	WORD	
in	WORD	
the	WORD	
cases	WORD	
you	WORD	
cite	WORD	NOSPACE 
,	PUNCTUATION	
but	WORD	
I	WORD	
do	WORD	
feel	WORD	
that	WORD	
*	PUNCTUATION	NOSPACE 
"	PUNCTUATION	NOSPACE 
(	PUNCTUATION	
Oh	WORD	NOSPACE 
,	PUNCTUATION	
)	PUNCTUATION	NOSPACE 
I	WORD	
have	WORD	
forgotten	WORD	NOSPACE 
"	PUNCTUATION	
is	WORD	
clearly	WORD	
not	WORD	
a	WORD	
possible	WORD	
response	WORD	
to	WORD	
your	WORD	
(	PUNCTUATION	NOSPACE 
2	NUMBER	NOSPACE 
)	PUNCTUATION	NOSPACE 
,	PUNCTUATION	
which	WORD	NOSPACE 
,	PUNCTUATION	
assuming	WORD	
'	PUNCTUATION	NOSPACE 
your	WORD	NOSPACE 
'	PUNCTUATION	
analysis	WORD	
of	WORD	
'	PUNCTUATION	NOSPACE 
present	WORD	
reference	WORD	NOSPACE 
'	PUNCTUATION	
is	WORD	
in	WORD	
some	WORD	
way	WORD	
correct	WORD	
for	WORD	
these	WORD	
uses	WORD	
of	WORD	
'	PUNCTUATION	NOSPACE 
have	WORD	NOSPACE 
'	PUNCTUATION	
(	PUNCTUATION	NOSPACE 
your	WORD	
analysis	WORD	
of	WORD	
'	PUNCTUATION	NOSPACE 
present	WORD	
reference	WORD	NOSPACE 
'	PUNCTUATION	
in	WORD	
this	WORD	
case	WORD	
seems	WORD	
correct	WORD	NOSPACE 
,	PUNCTUATION	
unless	WORD	
the	WORD	
use	WORD	
of	WORD	
the	WORD	
past	WORD	
perfect	WORD	
requires	WORD	
some	WORD	
convoluted	WORD	
meaning	WORD	
for	WORD	
this	WORD	
phrase	WORD	NOSPACE 
)	PUNCTUATION	NOSPACE 
,	PUNCTUATION	
presents	WORD	
a	WORD	
linguistic	WORD	
puzzle	WORD	NOSPACE 
.	PUNCTUATION	ENDOFSENTENCE 

[	PUNCTUATION	NOSPACE BEGINOFSENTENCE 
Just	WORD	
*	PUNCTUATION	NOSPACE 
perhaps	WORD	NOSPACE 
*	PUNCTUATION	NOSPACE 
,	PUNCTUATION	
English	WORD	
may	WORD	
treat	WORD	
the	WORD	
verb	WORD	
'	PUNCTUATION	NOSPACE 
forget	WORD	NOSPACE 
'	PUNCTUATION	
as	WORD	
a	WORD	
punctual	WORD	
verb	WORD	NOSPACE 
,	PUNCTUATION	
which	WORD	
*	PUNCTUATION	NOSPACE 
might	WORD	NOSPACE 
*	PUNCTUATION	
make	WORD	
it	WORD	
ineligible	WORD	
for	WORD	
this	WORD	
kind	WORD	
of	WORD	
use	WORD	NOSPACE 
--	PUNCTUATION-MULTI	NOSPACE 
this	WORD	
is	WORD	
just	WORD	
a	WORD	
guess	WORD	NOSPACE 
,	PUNCTUATION	
but	WORD	
one	WORD	
which	WORD	
introspection	WORD	
makes	WORD	
me	WORD	
feel	WORD	
comfortable	WORD	
with	WORD	NOSPACE 
.	PUNCTUATION	NOSPACE ENDOFSENTENCE 

]	PUNCTUATION	BEGINOFSENTENCE ENDOFSENTENCE 

As	WORD	BEGINOFSENTENCE NEWPARAGRAPH 
far	WORD	
as	WORD	
using	WORD	
the	WORD	
present	WORD	
tense	WORD	
with	WORD	
past	WORD	
meaning	WORD	NOSPACE 
,	PUNCTUATION	
that	WORD	
is	WORD	
clearly	WORD	
OK	WORD	
in	WORD	
many	WORD	
cases	WORD	NOSPACE 
.	PUNCTUATION	ENDOFSENTENCE 

T	WORD	NOSPACE BEGINOFSENTENCE 
here	SUFFIX	
's	SUFFIX	
a	WORD	
whole	WORD	
range	WORD	
of	WORD	
uses	WORD	
in	WORD	
narratives	WORD	
known	WORD	
as	WORD	
the	WORD	
'	PUNCTUATION	NOSPACE 
historical	WORD	
present	WORD	NOSPACE 
'	PUNCTUATION	NOSPACE 
:	PUNCTUATION	
'	PUNCTUATION	NOSPACE 
So	WORD	
in	WORD	
1796	NUMBER	
Napoleon	WORD	
takes	WORD	
over	WORD	NOSPACE 
,	PUNCTUATION	
wins	WORD	
a	WORD	
few	WORD	
campaigns	WORD	NOSPACE 
,	PUNCTUATION	
and	WORD	
becomes	WORD	
famous	WORD	NOSPACE 
.	PUNCTUATION	NOSPACE ENDOFSENTENCE 

'	PUNCTUATION	BEGINOFSENTENCE ENDOFSENTENCE 

Your	WORD	BEGINOFSENTENCE NEWPARAGRAPH 
current	WORD	
(	PUNCTUATION	NOSPACE 
2	NUMBER	NOSPACE 
)	PUNCTUATION	
is	WORD	
OK	WORD	
with	WORD	
the	WORD	
preterite	WORD	
in	WORD	
place	WORD	NOSPACE 
,	PUNCTUATION	
although	WORD	
not	WORD	
if	WORD	
you	WORD	
substitute	WORD	
'	PUNCTUATION	NOSPACE 
have	WORD	
forgotten	WORD	NOSPACE 
'	PUNCTUATION	
(	PUNCTUATION	NOSPACE 
NB	WORD	NOSPACE 
:	PUNCTUATION	
there	WORD	
are	WORD	
different	WORD	
meanings	WORD	
than	WORD	
the	WORD	
one	WORD	
you	WORD	
seem	WORD	
to	WORD	
want	WORD	
which	WORD	
would	WORD	
make	WORD	
'	PUNCTUATION	NOSPACE 
Oh	WORD	NOSPACE 
,	PUNCTUATION	
I	WORD	
have	WORD	
forgotten	WORD	NOSPACE 
'	PUNCTUATION	
OK	WORD	NOSPACE 
:	PUNCTUATION	
if	WORD	
you	WORD	
just	WORD	
realized	WORD	
that	WORD	
you	WORD	
